country,continent,1800,1805,1810,1815,1820,1825,1830,1835,1840,1845,1850,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
Afghanistan,Asia,468.58,468.58,469.98,469.98,471.38,471.38,472.81,472.81,474.24,475.67,475.67,477.1,477.1,478.53,478.53,479.96,479.96,481.39,481.39,482.77,481.77,480.36,475.68,471.43,466.14,462.49,457.4,453.67,448.55,444.73,439.56,398.07,362.4,334.1,307.8,279.4,249.1,216,181,152.3,137
Brazil,South America,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.39,416.53,414.08,410.05,405.19,399.2,393.25,387.32,355.01,324.74,263.64,228.53,198.1,171.8,150.6,133.7,115.6,95.6,75.3,61.1,46.7,32.4
China,Asia,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,485.68,464.39,429.16,418.74,417.44,417.44,417.44,417.44,417.39,416.53,414.08,410.05,405.19,400.29,395.4,390.5,356.66,332.42,324.69,317.13,290.96,308.99,115.43,113.3,85.2,62.4,54,53.8,47.5,36.9
Egypt,Africa,404.69,404.69,,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.65,403.81,401.44,397.52,392.82,389.24,385.63,354.17,376.01,358.57,379.1,369.69,360.5,,,,,,118.8,85.9,64.6,46.5
France,Europe,412.34,384.88,333.01,282.37,284.84,305.66,282.91,277.27,,236.87,238.14,278.66,243.26,283.25,300.31,245.72,257,240.22,250.64,228.19,223.98,190.65,159.62,162.68,161.79,120.82,101.93,84.06,103.68,120.29,57.1,40.2,28.5,22.3,18.2,15,12.4,10.3,9,6.5,5.4
Germany,Europe,340.25,340.25,340.25,,340.25,340.25,388.56,458.72,485.57,469.33,482.32,462.84,422.24,539.16,483.95,393.18,389.96,367.32,367.32,373.78,372.17,333.4,263.54,238.82,207.23,158.51,122.39,147.53,87.29,73.07,61.17,51.21,42.87,32.67,25.7,20.8,15,11.1,8.5,6.5,5.4
India,Asia,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,509.39,515.42,524.7,530.83,536.09,443.89,349.69,328.57,317.33,283.01,294.69,267.36,260.8,245.01,267.72,269.5,247.7,229.6,213.3,193.4,167.6,145.2,125.8,108.7,91.2
Iran,Asia,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.38,506.32,505.28,502.31,497.41,491.52,485.58,479.64,473.7,462.47,450.07,355.42,307.38,311,300.13,269.85,202.23,153.7,109.9,77.4,57.5,45.3,34.7
Israel,Asia,448,447.95,447.9,447.85,447.81,447.76,447.71,447.66,447.61,447.56,447.51,447.47,447.42,447.37,447.32,447.27,447.22,447.18,447.13,447.08,447.03,384.92,331.44,285.39,245.74,209.1,95.24,87.2,79.72,45.53,61.37,46.95,40.15,34.37,29.43,26.2,18,14.4,11.6,8.7,6.9
Italy,Europe,457.41,456.05,456.05,454.69,454.69,454.69,453.33,453.33,451.96,451.96,450.6,450.6,449.24,447.97,445.86,404.24,386.5,356.51,332.92,322.33,296.64,273.03,243.44,245.7,243.46,192.12,165.94,150.64,142.06,141.51,89.1,61.7,52,41,33.6,23.1,16.1,12,9.6,7.5,5.5
Japan,Asia,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,363.32,360.97,358.63,,352.82,348.22,343.6,337.26,328.6,316.75,292.77,270.6,228.45,196.74,163.01,131.95,137.23,,58.1,39.7,24.6,17.5,13.3,9.9,7.5,6.3,5.7,4.5
